"","Object.Name","Period.Start","Period.End","Possible.Impacts","Cumulative.Impact.Probability","Asteroid.Velocity","Asteroid.Magnitude","Asteroid.Diameter..km.","Cumulative.Palermo.Scale","Maximum.Palermo.Scale","Maximum.Torino.Scale","Period"
"274","2011 BG10",2051,2074,4,2.2e-06,12.29,26.3,0.019,-6.13,-6.39,0,23
"275","2016 RD34",2051,2093,25,0.0019,1.14,27.5,0.011,-4.17,-4.51,0,42
"276","2011 SE58",2052,2055,2,2.3e-08,15.68,27.6,0.01,-8.68,-8.8,0,3
"277","2015 GB1",2052,2090,4,3.1e-07,7.29,26.6,0.016,-7.42,-7.81,0,38
"278","2011 BT59",2052,2091,3,1.1e-07,37.84,20.8,0.24,-4.21,-4.22,0,39
"279","2008 YO2",2052,2114,46,5.5e-06,16.48,25.2,0.031,-5.36,-5.9,0,62
"280","2014 GQ17",2052,2115,83,5.6e-05,5.42,27.1,0.013,-5.55,-6.65,0,63
"281","2005 VP",2053,2094,12,9.3e-08,12.86,25.5,0.027,-7.15,-7.56,0,41
"282","2002 RB182",2053,2110,9,8.8e-07,14.75,22.8,0.092,-5.19,-5.23,0,57
"283","2015 WN1",2053,2114,74,0.00012,8.88,26.5,0.017,-4.9,-5.68,0,61
"284","2007 DS7",2053,2114,19,1.9e-05,12.39,25.8,0.023,-5.27,-5.52,0,61
"285","2011 FQ6",2053,2115,28,4.8e-05,10.5,27.7,0.01,-5.8,-5.97,0,62
"286","2012 HG2",2053,2116,318,0.002,3.32,27,0.014,-3.94,-4.37,0,63
"287","2012 ES10",2054,2064,7,1.4e-06,24.36,23.7,0.061,-4.81,-5.13,0,10
"288","2016 GS134",2054,2070,2,3.6e-07,11.02,27.9,0.009,-7.84,-8.01,0,16
"289","1996 TC1",2054,2072,4,1.2e-06,24.01,23.9,0.055,-5.08,-5.11,0,18
"290","2005 TK50",2054,2106,2,1.5e-07,20.62,28.9,0.006,-8.66,-8.68,0,52
"291","2016 BA15",2054,2108,14,1.7e-05,15.88,26.8,0.015,-5.46,-5.57,0,54
"292","2011 EM40",2054,2113,16,1.3e-06,10.69,28,0.009,-7.44,-8.01,0,59
"293","2013 XT23",2055,2069,2,1e-09,8.42,24.7,0.039,-8.88,-8.94,0,14
"294","2011 TO",2055,2076,5,9.3e-06,8.55,26.3,0.019,-5.73,-5.74,0,21
"295","2014 HS197",2055,2100,9,3.4e-07,16.97,29.4,0.004,-8.38,-8.49,0,45
"296","2007 HB15",2055,2112,33,0.00015,6.35,27.8,0.01,-5.27,-5.35,0,57
"297","2009 BF58",2055,2115,27,5.4e-05,6.68,27.2,0.012,-5.67,-6.07,0,60
"298","2014 LJ",2055,2115,39,1.5e-05,3.61,28.5,0.007,-6.9,-7.82,0,60
"299","2016 NL39",2055,2116,85,0.00044,3.93,27.6,0.01,-4.92,-5.48,0,61
"300","2011 XC2",2056,2056,1,2.5e-06,20.75,23,0.085,-4.3,-4.3,0,0
"301","1999 RZ31",2056,2056,2,1.2e-06,8.2,23.8,0.059,-5.35,-5.42,0,0
"302","2016 CD30",2056,2070,7,5.3e-05,10.53,27.7,0.01,-5.62,-5.66,0,14
"303","2016 EV84",2056,2080,3,2.4e-06,7.41,26.8,0.015,-6.69,-6.77,0,24
"304","2007 XZ9",2056,2089,3,1.1e-06,13.01,24.8,0.037,-5.89,-5.94,0,33
"305","2011 SO189",2056,2090,12,1e-04,12.98,26.5,0.017,-4.74,-5.15,0,34
"306","1979 XB",2056,2113,5,9.9e-07,23.63,18.6,0.657,-2.75,-3.07,0,57
"307","2013 PG10",2056,2113,7,8.3e-06,6.87,27.7,0.01,-6.56,-6.66,0,57
"308","2012 EP10",2056,2115,39,9.5e-05,2.78,29.2,0.005,-6.45,-6.7,0,59
"309","2011 UL169",2057,2073,6,1.4e-05,9.35,28.3,0.007,-6.45,-6.51,0,16
"310","2017 BY93",2057,2079,6,3.4e-06,19.03,23.1,0.08,-4.29,-4.34,0,22
"311","2015 BE511",2057,2103,5,6.4e-05,9.88,28.7,0.006,-6.08,-6.19,0,46
"312","2009 JL2",2057,2113,10,3.6e-06,12.83,26,0.022,-5.99,-6.45,0,56
"313","2014 HK197",2057,2115,16,3.3e-09,18.05,26.7,0.015,-9.28,-10.2,0,58
"314","2009 CZ1",2058,2102,3,1.1e-06,17.81,24.4,0.044,-5.48,-5.63,0,44
"315","2007 UD6",2058,2106,63,9e-05,5.99,28.3,0.007,-5.9,-6.79,0,48
"316","2015 HE183",2058,2110,34,4.5e-06,13.75,28.3,0.008,-6.94,-7.42,0,52
"317","2009 FJ",2058,2111,5,1.4e-06,8.94,24.9,0.036,-5.86,-5.93,0,53
"318","2014 SR261",2058,2111,7,5.4e-06,15.27,26.8,0.015,-6.01,-6.08,0,53
"319","2011 SM173",2058,2112,10,5.3e-05,14.25,27.8,0.009,-5.5,-5.53,0,54
"320","2012 XB112",2058,2114,18,0.00013,4.15,29.8,0.004,-6.35,-6.37,0,56
"321","2009 BR5",2059,2078,3,2.7e-07,18,22.1,0.13,-5.08,-5.15,0,19
"322","2006 XZ2",2059,2102,4,3.1e-07,9.06,27.1,0.013,-7.68,-7.81,0,43
"323","2015 SK7",2059,2107,5,7.3e-07,12.18,28.8,0.006,-8.08,-8.41,0,48
"324","2007 FP3",2059,2111,11,2.2e-06,9.65,28.4,0.007,-7.54,-7.86,0,52
"325","2013 NE24",2059,2112,13,5.4e-06,10.83,27.4,0.011,-6.61,-6.93,0,53
"326","2008 FF5",2060,2060,1,5.2e-07,39.47,23.1,0.081,-4.68,-4.68,0,0
"327","2013 NH6",2060,2060,1,2.6e-08,21.71,23.4,0.073,-6.46,-6.46,0,0
"328","2012 SG58",2060,2060,1,2e-08,15.89,23.1,0.083,-6.59,-6.59,0,0
"329","2014 DK10",2060,2060,1,3.6e-08,11.83,27.8,0.01,-8.71,-8.71,0,0
"330","2009 YR",2060,2087,6,8.7e-06,3.12,28,0.009,-6.74,-7.14,0,27
"331","99942 Apophis (2004 MN4)",2060,2105,12,8.9e-06,5.85,19.1,0.37,-2.83,-2.93,0,45
"332","2006 SR131",2060,2113,38,3.4e-05,8.46,28,0.009,-6.18,-6.98,0,53
"333","2010 NN",2060,2115,29,3.2e-05,7.74,28.3,0.007,-6.3,-6.67,0,55
"334","2006 BO7",2060,2115,3,1.1e-06,9.83,29.3,0.005,-8.07,-8.26,0,55
"335","2014 GN1",2061,2061,1,2.1e-05,21.23,24.6,0.041,-4.17,-4.17,0,0
"336","2013 UJ5",2061,2061,1,1.1e-07,10.81,28,0.009,-8.37,-8.37,0,0
"337","2015 TL21",2061,2094,3,2.5e-06,15.32,26.4,0.017,-6.21,-6.36,0,33
"338","2008 CJ",2061,2106,2,9.5e-07,8.06,27.3,0.012,-7.5,-7.5,0,45
"339","1993 HP1",2061,2112,9,1.6e-06,9.85,26.9,0.014,-6.87,-7.08,0,51
"340","2013 GW38",2061,2113,13,6.4e-06,10.26,28.5,0.007,-7.05,-7.66,0,52
"341","2009 BE",2061,2114,26,0.00065,11.46,26.1,0.02,-3.86,-4.15,0,53
"342","2006 UQ216",2061,2115,7,3.3e-06,3.73,27.3,0.012,-7.02,-7.22,0,54
"343","2007 VE8",2062,2062,1,2.2e-05,9.05,25.4,0.028,-4.92,-4.92,0,0
"344","2012 HB25",2062,2062,1,6.7e-09,8.95,24.9,0.035,-8.2,-8.2,0,0
"345","2010 CR5",2062,2075,3,7.6e-08,23.6,19.8,0.372,-4.25,-4.28,0,13
"346","2008 EX5",2062,2083,11,2.7e-05,9.92,23.8,0.059,-4.13,-4.43,0,21
"347","2007 EE126",2062,2092,4,5.7e-08,30.8,25.6,0.025,-7.13,-7.44,0,30
"348","2011 CA7",2062,2092,7,9e-07,8.91,30.3,0.003,-8.67,-8.88,0,30
"349","2010 TW149",2062,2113,42,8.6e-06,17.04,25.9,0.023,-5.53,-5.97,0,51
"350","2016 CG18",2062,2116,53,0.00014,4.25,28.5,0.007,-5.87,-6.13,0,54
"351","2014 SR223",2063,2063,1,2.2e-06,15.23,26.8,0.015,-6.39,-6.39,0,0
"352","2008 EA9",2063,2084,9,2.6e-05,1.24,27.7,0.01,-6.24,-6.8,0,21
"353","2012 BG96",2063,2098,9,2.4e-09,8.68,18.9,0.57,-5.9,-6.69,0,35
"354","2016 JA",2064,2103,10,4.5e-07,7.6,27.5,0.011,-7.8,-8.37,0,39
"355","2002 GM5",2064,2113,2,1.3e-07,20.38,21.4,0.179,-4.91,-4.92,0,49
"356","2012 XK134",2065,2065,1,1.1e-07,4.95,26.4,0.018,-7.84,-7.84,0,0
"357","2010 XU",2065,2065,1,1.5e-10,6.22,25.4,0.029,-10.17,-10.2,0,0
"358","2007 RC20",2065,2106,2,3.7e-09,5.12,26.7,0.016,-9.66,-9.7,0,41
"359","2011 DS",2065,2108,13,1.4e-05,6.54,27,0.013,-6.11,-6.36,0,43
"360","2015 RN35",2065,2111,9,1.2e-05,5.72,23,0.085,-4.24,-4.43,0,46
"361","2008 WO2",2065,2111,10,5.3e-05,6.11,29.8,0.004,-6.93,-7.28,0,46
"362","2007 UT3",2065,2115,5,2.8e-07,9.05,25.7,0.024,-7.08,-7.4,0,50
"363","2009 ST171",2066,2066,1,1.1e-06,9.83,26.8,0.015,-6.92,-6.92,0,0
"364","2012 XL55",2066,2066,1,4.9e-08,19.09,27,0.013,-8.08,-8.08,0,0
"365","2014 KC45",2066,2102,4,1.5e-06,8.92,29.4,0.004,-8.25,-8.28,0,36
"366","2010 TN55",2066,2111,21,2.8e-06,25.37,27,0.014,-6.33,-6.88,0,45
"367","2015 FU344",2066,2111,13,1.4e-05,9.92,31,0.002,-7.79,-7.94,0,45
"368","2010 UY7",2066,2115,45,0.00023,3.87,28.5,0.007,-5.75,-6.19,0,49
"369","2012 PB20",2066,2115,8,2.7e-06,4.03,24.9,0.035,-6.02,-6.36,0,49
"370","2016 SR2",2066,2116,17,5.7e-05,5.95,26.3,0.019,-5.27,-5.48,0,50
"371","2015 XP",2067,2067,1,1.2e-06,8.23,25.8,0.024,-6.43,-6.43,0,0
"372","2011 QF48",2067,2067,2,2e-07,19.93,25.3,0.03,-6.6,-6.87,0,0
"373","2008 BN16",2067,2083,3,4e-08,18.98,25.9,0.023,-7.7,-7.87,0,16
"374","2009 EJ1",2067,2086,3,1e-07,10.63,28.2,0.008,-8.64,-8.78,0,19
"375","2007 CC27",2067,2105,40,8e-05,10.88,26.9,0.014,-5.15,-5.65,0,38
"376","2013 BR27",2067,2106,42,3e-05,10.95,27.7,0.01,-6.02,-6.44,0,39
"377","2009 WP6",2067,2114,63,3.8e-05,25.34,26.8,0.015,-5.01,-5.3,0,47
"378","2009 TH8",2068,2100,4,1.2e-05,13.03,24.9,0.036,-5.04,-5.13,0,32
"379","2006 HF6",2068,2110,22,8.9e-06,16.4,24.5,0.043,-4.73,-5.27,0,42
"380","2008 TS10",2068,2114,19,2.8e-05,3.18,28.8,0.006,-6.77,-7.61,0,46
"381","2012 DJ54",2068,2115,32,2e-04,5.43,28.5,0.007,-5.71,-6,0,47
"382","2016 FE15",2068,2116,3,6.2e-07,12.21,28.8,0.006,-8.11,-8.24,0,48
"383","2016 DK2",2069,2069,1,7.5e-07,17.57,29.1,0.005,-7.93,-7.93,0,0
"384","2005 XA8",2069,2086,21,9.1e-05,12.08,25.6,0.025,-4.43,-4.54,0,17
"385","2015 VP64",2069,2105,5,3.1e-06,20.96,28.3,0.007,-6.99,-7,0,36
"386","2012 TP20",2069,2107,4,5.3e-07,7.31,27.8,0.009,-7.85,-8.07,0,38
"387","2000 SG344",2069,2113,104,0.0022,1.36,24.8,0.037,-2.93,-3.26,0,44
"388","2012 AP10",2069,2114,81,0.00011,3.57,26.4,0.018,-5.01,-5.7,0,45
"389","2014 JR24",2069,2115,38,0.0012,3.72,29.3,0.005,-5.26,-5.27,0,46
"390","2010 UK",2069,2115,20,2.3e-05,6.11,26.9,0.014,-5.81,-6.02,0,46
"391","2009 WW7",2069,2115,30,2.2e-05,8.2,28.9,0.006,-6.81,-6.94,0,46
"392","2011 EB",2070,2077,3,5.3e-05,10.31,26.9,0.014,-5.33,-5.37,0,7
"393","2012 UU158",2070,2078,2,1.9e-06,12.28,26.9,0.014,-6.66,-6.68,0,8
"394","2014 HT197",2070,2090,3,1.1e-07,17.18,28.5,0.007,-8.53,-8.81,0,20
"395","2013 BL18",2070,2092,5,2.4e-05,14.19,26,0.022,-5.16,-5.27,0,22
"396","2012 TV",2070,2096,12,2e-06,16.66,25.2,0.031,-5.72,-6.1,0,26
"397","2000 SZ162",2070,2096,2,3.8e-07,4.17,27.1,0.013,-7.7,-7.75,0,26
"398","2009 FQ32",2070,2104,5,5.2e-08,4.75,26.8,0.015,-8.49,-8.93,0,34
"399","2002 MN",2070,2109,13,6.1e-06,10.37,23.3,0.073,-4.59,-5.04,0,39
"400","2012 EK5",2070,2111,14,3.7e-05,15.13,25.5,0.026,-4.77,-5.03,0,41
"401","2011 MX",2070,2113,21,3.2e-05,12.19,26.9,0.014,-5.51,-6,0,43
"402","2013 GA55",2070,2114,23,3.9e-05,9.34,27.7,0.01,-6.04,-6.21,0,44
"403","2015 TC25",2070,2115,13,0.00013,3.52,29.5,0.004,-6.45,-6.49,0,45
"404","2014 OP2",2071,2079,3,1.7e-06,11.63,29.1,0.005,-7.8,-7.92,0,8
"405","2013 VW13",2071,2084,9,0.00044,16.35,26.2,0.019,-3.92,-4.09,0,13
"406","2010 JH110",2071,2092,3,5.6e-05,8.08,26.3,0.019,-5.17,-5.37,0,21
"407","2007 UN12",2071,2111,32,0.00029,1.57,28.7,0.006,-5.8,-6.57,0,40
"408","2014 UY57",2071,2111,2,1.2e-07,9.03,27.2,0.012,-8.2,-8.32,0,40
"409","2004 PU42",2071,2114,25,8.3e-05,10.11,26.8,0.015,-5.13,-5.7,0,43
"410","2016 VB1",2071,2115,73,0.0012,5.45,28.6,0.006,-5.02,-5.48,0,44
"411","2013 QM48",2071,2115,17,4e-06,7.47,27.4,0.011,-6.93,-7.5,0,44
"412","2016 LE10",2072,2072,2,3.3e-08,12.63,27.1,0.013,-8.51,-8.76,0,0
"413","2016 FA14",2072,2077,2,1.5e-06,15.24,27.4,0.011,-6.92,-6.93,0,5
"414","2010 TD",2072,2091,5,2.7e-06,18.86,26.9,0.014,-6.34,-6.75,0,19
"415","2016 AF2",2072,2093,3,3.1e-07,5.87,27.8,0.009,-8.09,-8.1,0,21
"416","2008 BC15",2072,2094,2,8.7e-07,20.64,26.6,0.016,-6.73,-6.89,0,22
"417","2008 EZ84",2072,2114,10,0.00022,7.91,26.2,0.02,-4.39,-4.68,0,42
"418","2004 VM24",2072,2114,20,1.5e-05,12.86,25.7,0.025,-5.26,-5.72,0,42
"419","2014 TL",2072,2114,6,9.1e-06,10.72,27.8,0.009,-6.66,-6.82,0,42
"420","2016 WT",2072,2115,36,2.3e-05,10.71,29.7,0.004,-7.2,-8.08,0,43
"421","1997 UA11",2073,2073,1,4.4e-07,11.96,25.1,0.032,-6.48,-6.48,0,0
"422","2015 FF36",2073,2073,1,1.2e-06,8.54,26.5,0.017,-6.82,-6.82,0,0
"423","2010 LV108",2073,2073,1,6e-10,9.06,22.3,0.12,-8.09,-8.09,0,0
"424","2016 SK2",2073,2081,4,2.1e-06,13.64,25.3,0.029,-5.88,-5.91,0,8
"425","2006 JY26",2073,2110,48,0.0097,2.98,28.4,0.007,-3.93,-3.93,0,37
"426","2007 EO88",2073,2111,8,8.9e-06,10.95,26.4,0.018,-5.97,-6.49,0,38
"427","2009 SH1",2073,2113,24,7e-08,5.57,29.9,0.004,-9.91,-10.4,0,40
"428","2013 RS43",2073,2114,27,1.3e-05,5.69,27,0.013,-6.26,-7.04,0,41
"429","2009 FP32",2073,2115,18,6.9e-06,15.06,27.8,0.01,-6.57,-7.2,0,42
"430","2010 VQ139",2074,2078,2,3.4e-10,8.03,26.4,0.018,-10.32,-10.5,0,4
"431","2010 JH80",2074,2082,2,3.2e-06,26.9,24.5,0.042,-4.98,-4.99,0,8
"432","2014 GY44",2074,2083,3,3.4e-06,12.32,25.4,0.028,-5.75,-5.9,0,9
"433","2007 TL16",2074,2092,10,9.1e-06,11.43,26.2,0.019,-5.8,-5.91,0,18
"434","2012 VV76",2074,2094,2,4.8e-08,14.69,25.6,0.026,-7.69,-7.76,0,20
"435","2012 BN123",2074,2110,4,3.2e-09,10.13,23.2,0.078,-7.82,-8.13,0,36
"436","2006 HE2",2074,2111,4,8.3e-07,5.02,26.5,0.017,-7.16,-7.4,0,37
"437","2008 ST7",2074,2112,24,2.6e-05,9.98,24.1,0.052,-4.42,-4.77,0,38
"438","2000 SB45",2074,2113,98,0.00015,7.53,24.3,0.046,-3.8,-4.3,0,39
"439","2016 TY55",2074,2114,16,1.9e-05,4.61,26.9,0.014,-5.99,-6.23,0,40
"440","2014 MB6",2075,2075,1,1.4e-08,13.07,26.2,0.019,-8.49,-8.49,0,0
"441","2009 EW",2075,2081,4,1.8e-06,12.83,26.4,0.018,-6.48,-6.68,0,6
"442","2014 WA201",2075,2084,8,0.00013,11.57,26.8,0.015,-4.85,-4.85,0,9
"443","2015 UH52",2075,2101,3,1.1e-06,11.19,26,0.022,-6.59,-6.85,0,26
"444","2003 YS70",2075,2107,2,7.7e-06,3.16,28.8,0.006,-7.44,-7.48,0,32
"445","2000 LG6",2075,2115,52,0.00099,2.11,29,0.005,-5.37,-5.86,0,40
"446","2014 QF33",2076,2076,1,3.4e-08,23.29,23.7,0.06,-6.63,-6.63,0,0
"447","2014 FX32",2076,2108,3,3.1e-06,9.05,25.1,0.033,-5.71,-5.71,0,32
"448","2016 RR1",2076,2113,27,2e-04,6.75,27.8,0.009,-5.42,-5.64,0,37
"449","2004 VZ14",2076,2114,4,2.1e-06,15.26,25.3,0.03,-5.92,-6.39,0,38
"450","2015 ET",2076,2114,9,2.6e-06,11.63,26.7,0.016,-6.58,-7.22,0,38
"451","2016 WG",2076,2115,22,5.5e-06,23.6,23.3,0.074,-4.25,-4.91,0,39
"452","2012 YR1",2077,2077,1,5.6e-07,7.84,26.5,0.017,-7.2,-7.2,0,0
"453","2007 VF189",2077,2077,1,3.5e-08,11.47,28.4,0.007,-9.17,-9.17,0,0
"454","2012 RU16",2077,2089,2,1.1e-07,8.66,25.6,0.026,-7.48,-7.64,0,12
"455","2008 HJ",2077,2114,22,0.00023,7.53,25.7,0.024,-4.35,-4.81,0,37
"456","2016 TH",2077,2115,30,2.2e-05,7.4,29.4,0.004,-7.09,-7.76,0,38
"457","2008 UA92",2078,2078,1,1.3e-06,8.38,27.3,0.012,-7.21,-7.21,0,0
"458","2012 CQ46",2078,2103,4,1.5e-09,13.01,27.2,0.012,-10.04,-10.4,0,25
"459","2006 UJ185",2078,2105,3,1.2e-06,15.46,27.9,0.009,-7.47,-7.48,0,27
"460","2013 CY",2078,2106,5,2.5e-06,2.42,28.2,0.008,-7.57,-7.92,0,28
"461","2014 QN266",2078,2109,3,2.1e-06,2.85,26.2,0.019,-6.6,-6.66,0,31
"462","2007 XB23",2078,2114,9,6.6e-07,4.58,27.1,0.013,-7.52,-7.8,0,36
"463","2014 QC391",2078,2115,37,5.9e-05,7.61,27.5,0.011,-5.77,-6.14,0,37
"464","2006 QN111",2079,2079,1,2.1e-06,10.55,23.8,0.06,-5.24,-5.24,0,0
"465","2010 UR7",2079,2086,3,2e-06,13.34,27.4,0.011,-6.94,-7.08,0,7
"466","2008 CM74",2079,2100,6,2.4e-06,4.07,28,0.008,-7.49,-7.95,0,21
"467","2014 JU15",2079,2114,71,5.4e-05,10.34,24.7,0.039,-4.35,-5.07,0,35
"468","2009 TM8",2079,2114,136,7.7e-05,7.96,28.6,0.007,-6.18,-7.39,0,35
"469","2007 US51",2079,2114,8,6.7e-06,15.29,27.2,0.012,-6.34,-6.66,0,35
"470","2001 SD286",2080,2080,1,5.2e-08,12.56,25.2,0.03,-7.49,-7.49,0,0
"471","2002 AN129",2080,2080,1,2e-08,11.35,26.1,0.021,-8.34,-8.34,0,0
"472","2008 GF1",2080,2080,1,9.7e-08,14.61,28.3,0.007,-8.61,-8.61,0,0
"473","2015 PS228",2080,2102,3,2.9e-06,2.55,28.9,0.005,-7.81,-7.87,0,22
"474","2014 EU",2080,2107,5,7.7e-06,5.64,27.7,0.01,-6.72,-6.77,0,27
"475","2009 OW6",2080,2115,2,4.9e-06,6.65,25.3,0.029,-5.81,-6.01,0,35
"476","2015 WP2",2080,2115,24,1e-04,12.62,30.1,0.003,-6.56,-6.98,0,35
"477","2015 MN11",2081,2081,1,2.2e-09,21.06,24.5,0.042,-8.27,-8.27,0,0
"478","2012 WR10",2081,2096,3,7.7e-07,2.73,28.5,0.007,-8.21,-8.4,0,15
"479","2013 FU13",2081,2098,3,3.2e-05,5.74,27.2,0.012,-5.88,-6.09,0,17
"480","2012 XM16",2081,2107,2,2.1e-06,12.68,25.8,0.024,-6.16,-6.25,0,26
"481","2005 AU3",2081,2114,24,1.2e-05,14.4,26,0.021,-5.55,-6.18,0,33
"482","2012 VS76",2081,2114,9,1.3e-05,11.48,26.9,0.014,-6,-6.27,0,33
"483","2016 JA6",2081,2115,8,4e-06,11.34,26.4,0.018,-6.29,-6.47,0,34
"484","2007 TC14",2082,2082,1,1.2e-07,25.55,22.1,0.13,-5.3,-5.3,0,0
"485","2016 FC1",2082,2088,4,3.4e-06,15.19,29.1,0.005,-7.47,-7.64,0,6
"486","2006 YE",2082,2089,2,1.6e-06,6.05,27.3,0.012,-7.24,-7.25,0,7
"487","2016 TQ54",2082,2113,9,1.8e-06,9,27.2,0.012,-7.15,-7.64,0,31
"488","2010 FN",2082,2114,5,2.3e-06,6.78,26.6,0.016,-6.71,-6.96,0,32
"489","2011 FQ16",2082,2114,4,6.4e-07,7.99,27.7,0.01,-7.87,-8.02,0,32
"490","2012 WS3",2082,2115,31,7.3e-06,8.79,25.9,0.022,-5.91,-6.85,0,33
"491","2011 BF40",2083,2083,1,1.9e-06,18.5,24.8,0.037,-5.58,-5.58,0,0
"492","2012 QV17",2083,2083,1,2.5e-08,10.87,25,0.033,-7.77,-7.77,0,0
"493","2008 EF32",2083,2083,1,6.5e-08,13.11,29.4,0.005,-9.39,-9.39,0,0
"494","2014 HH196",2083,2109,2,3e-09,11.21,28.2,0.008,-10.21,-10.2,0,26
"495","2012 DW60",2083,2115,14,4.1e-05,5.4,26.5,0.017,-5.45,-5.54,0,32
"496","2016 WQ1",2084,2084,1,8.1e-08,7.67,27.9,0.009,-8.74,-8.74,0,0
"497","2009 WZ53",2084,2094,3,8.3e-10,18.97,24.1,0.052,-8.58,-8.74,0,10
"498","2016 TT",2084,2095,3,4.5e-07,11.59,26,0.021,-6.98,-6.99,0,11
"499","2002 VU17",2084,2099,5,9.3e-06,13.69,24.8,0.038,-5.06,-5.49,0,15
"500","2008 EF85",2084,2110,3,1.6e-07,9.53,26.7,0.016,-7.96,-8,0,26
"501","2002 TY59",2084,2114,3,2.5e-05,8.22,25.4,0.028,-5.21,-5.45,0,30
"502","2006 WZ184",2084,2114,27,1.1e-05,7.26,26.1,0.021,-5.85,-6.77,0,30
"503","2008 GM2",2084,2114,35,2.3e-05,4.61,28.4,0.007,-6.69,-7.39,0,30
"504","2009 XQ2",2084,2114,2,2.6e-10,26.18,24.1,0.051,-8.98,-9.21,0,30
"505","2016 NK22",2084,2115,85,7e-04,6.88,28.9,0.005,-5.47,-5.67,0,31
"506","2012 SU9",2084,2115,5,1.3e-06,10.88,27.2,0.012,-7.24,-7.33,0,31
"507","2017 BK30",2085,2085,2,1.4e-07,9.95,27.2,0.012,-8.11,-8.26,0,0
"508","2015 XQ129",2085,2085,1,5.3e-10,15.3,24.4,0.044,-9.04,-9.04,0,0
"509","2008 XC1",2085,2088,2,1.2e-07,11.66,23.7,0.063,-6.42,-6.47,0,3
"510","2014 HB177",2085,2099,3,2.6e-06,6.08,28.3,0.007,-7.49,-7.57,0,14
"511","2010 FD",2085,2104,2,1.4e-06,9.79,26,0.021,-6.57,-6.6,0,19
"512","2008 YV32",2085,2107,9,4.3e-06,8.79,26.4,0.018,-6.32,-6.8,0,22
"513","2015 VL64",2085,2109,7,2.8e-06,8.68,28.3,0.007,-7.46,-8.02,0,24
"514","2010 RM80",2085,2115,21,1.1e-05,5.36,27.9,0.009,-6.84,-7.25,0,30
"515","2016 XL23",2086,2086,1,8.2e-07,9.91,29.3,0.005,-8.34,-8.34,0,0
"516","2004 BN41",2086,2098,2,5.2e-07,7.58,25.8,0.024,-6.98,-7.07,0,12
"517","2014 UD57",2086,2108,4,7e-06,8.72,25.8,0.023,-5.81,-5.9,0,22
"518","2016 EG28",2086,2108,3,2.1e-06,14.67,27.8,0.009,-7.17,-7.28,0,22
"519","2016 TQ18",2086,2110,3,6.9e-06,9.59,26.3,0.018,-6.13,-6.16,0,24
"520","2009 TU",2086,2111,6,2.1e-05,15.15,27.4,0.011,-5.87,-6.32,0,25
"521","2012 BW13",2086,2111,10,2e-06,11.69,27.2,0.012,-7.03,-7.41,0,25
"522","2013 XS21",2086,2111,9,3.3e-06,7.52,29.4,0.004,-7.95,-8.26,0,25
"523","2011 VG9",2086,2114,6,3.2e-07,24.79,22.2,0.121,-5.04,-5.44,0,28
"524","2012 BU1",2086,2114,20,0.00011,8.97,27.7,0.01,-5.56,-5.99,0,28
"525","2002 UV36",2087,2087,1,9.7e-06,8.06,26.7,0.016,-6.09,-6.09,0,0
"526","2007 EZ25",2087,2087,1,7.9e-08,20.73,25.6,0.026,-7.27,-7.27,0,0
"527","2010 GM23",2087,2114,29,5.5e-05,13.44,24.7,0.04,-4.31,-4.94,0,27
"528","2015 VN64",2088,2096,3,7.1e-07,15.86,27.5,0.01,-7.41,-7.58,0,8
"529","2007 EV",2088,2109,5,5e-06,10.58,25,0.033,-5.59,-5.78,0,21
"530","2010 NH",2089,2092,2,1.5e-06,10.29,25.7,0.025,-6.38,-6.43,0,3
"531","2010 CK19",2089,2107,4,8.7e-07,5.01,27.9,0.009,-7.83,-8.22,0,18
"532","2014 KS76",2089,2107,2,9.6e-08,7.18,26.6,0.016,-8.13,-8.25,0,18
"533","2016 WU",2089,2110,3,2.4e-06,7.05,27.3,0.012,-7.14,-7.15,0,21
"534","2011 BU59",2089,2113,11,8.5e-06,11.34,26.2,0.02,-5.88,-6.05,0,24
"535","2017 BD6",2090,2090,1,1e-09,9.28,28.6,0.007,-10.95,-11,0,0
"536","2016 JB29",2090,2090,1,2.3e-07,8.56,24.7,0.039,-6.78,-6.78,0,0
"537","2008 YC3",2090,2092,2,8.3e-09,6.24,25.4,0.029,-8.6,-8.66,0,2
"538","2015 CL13",2090,2106,4,9.4e-08,13.69,25.7,0.025,-7.49,-7.73,0,16
"539","2015 UR67",2091,2091,1,4.9e-06,11.63,26.3,0.019,-6.12,-6.12,0,0
"540","2014 HO197",2091,2091,1,2.2e-10,14.63,26,0.021,-10.24,-10.2,0,0
"541","2008 DA4",2091,2100,2,4.2e-07,11.13,23.9,0.056,-6.09,-6.28,0,9
"542","2008 KT",2091,2107,4,2.9e-07,3,28.2,0.008,-8.55,-8.8,0,16
"543","2008 JL24",2091,2109,2,4.3e-07,2.7,29.6,0.004,-8.99,-9.05,0,18
"544","2016 WY",2091,2114,11,9.7e-05,3.24,29.2,0.005,-6.49,-6.6,0,23
"545","2016 JB18",2091,2116,14,8.1e-05,3.25,27.5,0.011,-5.72,-5.75,0,25
"546","2006 CM10",2092,2092,1,2.4e-08,22.34,21.7,0.15,-5.94,-5.94,0,0
"547","2013 RZ53",2092,2103,8,1.3e-05,1.25,31.1,0.002,-8.32,-8.7,0,11
"548","2016 EP84",2092,2106,6,3.6e-05,2.33,27.4,0.011,-6.03,-6.08,0,14
